TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201701,4.21,0.0,211.113,124.682,0.0,273.065,0.0,3.84,0.0,95.528,0.0,4.123,0.0,4.594,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.383,0.0,19.6752,-9999,33.3004,0.0,39.9921,-9999,0.211803,0.0,-9999,0.199362,0.228531,0.232082,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201702,9.475,0.0,269.361,163.931,0.0,289.617,0.0,6.325,0.0,95.329,0.0,1.626,0.0,4.933,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.3419,0.0,19.5015,-9999,33.214,0.0,39.6358,-9999,0.208184,0.0,-9999,0.194645,0.225752,0.229411,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201703,13.353,0.0,345.962,209.227,0.0,314.016,0.0,7.712,0.0,95.6,0.0,4.194,0.0,5.822,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.332,0.0,20.6919,-9999,33.213,0.0,42.0792,-9999,0.212891,0.0,-9999,0.199275,0.228933,0.233348,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201704,15.371,0.0,417.402,209.247,0.0,336.05,0.0,6.411,0.0,95.128,0.0,13.7,0.0,5.928,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.3527,0.0,20.7368,-9999,33.2434,0.0,42.1559,-9999,0.211052,0.0,-9999,0.197864,0.227805,0.231687,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201705,19.243,0.0,464.999,284.374,0.0,341.525,0.0,9.5,0.0,95.162,0.0,8.929,0.0,4.934,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.383,0.0,21.0356,-9999,33.3004,0.0,42.7574,-9999,0.211803,0.0,-9999,0.199362,0.228531,0.232082,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201706,25.508,0.0,484.024,282.061,0.0,392.167,0.0,14.304,0.0,95.193,0.0,3.496,0.0,5.116,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.53662,0.0,16.3527,0.0,21.0682,-9999,33.2434,0.0,42.8297,-9999,0.211052,0.0,-9999,0.197864,0.227805,0.231687,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201707,27.491,0.0,474.078,289.67,0.0,405.573,0.0,15.934,0.0,95.529,0.0,3.592,0.0,3.675,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.74641,0.0,16.3429,0.0,19.9744,-9999,33.2168,0.0,40.5978,-9999,0.208462,0.0,-9999,0.194957,0.225951,0.229631,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201708,24.732,0.00873656,435.78,240.817,0.00873656,399.264,0.00873656,11.119,0.00873656,95.528,0.00806452,4.594,0.0,3.37,0.00806452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.57701,0.00873656,16.332,0.0,20.2112,-9999,33.2162,0.00604839,41.1057,0.464562,0.212891,0.0,-9999,0.199275,0.228933,0.233348,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201709,22.594,1.0,373.781,202.014,1.0,374.106,1.0,11.035,1.0,95.532,0.990278,6.687,0.0,4.328,0.968056,0.28123692196371997,0.9645833333333333,100.50857640173705,0.9979166666666667,386.21313725490194,0.5666666666666667,29.342377450980397,0.5666666666666667,72.20111111111113,1.0,30.993322251773055,0.9993055555555554,442.9794828605201,0.9993055555555554,412.937,1.0,23.917,24.22,24.287,24.38,24.195,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.644512,0.993056,17.0945,0.0138889,20.6454,-9999,22.6229,0.739583,27.3222,0.302621,0.206605,0.000694444,-9999,0.193418,0.223359,0.227241,0.000694444,0.000694444,0.000694444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201710,16.641,1.0,297.659,185.537,1.0,322.335,1.0,8.245,1.0,95.604,0.99328,2.859,0.0,5.52,0.987903,0.3488011968962611,0.9845430107526882,70.83261253145734,0.9993279569892473,384.25606182795696,1.0,32.40426747311829,1.0,45.11449468085107,0.9993279569892473,29.84531586021505,1.0,405.62992736215966,0.9993279569892473,414.185,0.989919,17.226,17.709,18.226,18.856,19.156,0.986559,0.983871,0.982527,0.994624,0.983199,-9999,33.705,34.261,28.69,-9999,0.000672043,0.000672043,0.000672043,-6.77405,0.991263,17.0076,0.0,21.3594,-9999,31.8469,0.750672,39.9955,1.03578,0.211803,0.0,-9999,0.199362,0.228531,0.232082,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201711,11.3,1.0,228.704,122.371,1.0,305.523,1.0,6.162,1.0,95.664,1.0,0.363,0.0,4.797,0.977778,0.3082933090524146,0.9715277777777778,30.109999999999992,1.0,255.14963194444442,1.0,24.831243055555554,1.0,46.192708333333336,1.0,20.09819444444445,1.0,375.57437500000003,1.0,417.929,0.995139,12.184,12.669,13.19,13.866,14.269,0.996528,0.996528,0.996528,0.995833,0.996528,-9999,33.736,34.262,28.666,-9999,0.0,0.0,0.0,-5.6305,0.996528,16.8854,0.0,17.6645,-9999,25.5434,0.697917,26.7219,0.651604,0.211052,0.0,-9999,0.197864,0.227805,0.231687,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201712,3.864,0.991935,194.352,100.907,0.991935,272.922,0.991935,4.741,0.801075,96.05,0.839382,0.411,0.0,4.538,0.44086,-9999,-9999,18.70745469306516,0.989247311827957,202.2612787356322,0.9354838709677419,20.335100574712637,0.9354838709677419,37.58332205517596,0.989247311827957,15.913377575812872,0.989247311827957,336.1027197677798,0.989247311827957,416.534,0.199597,6.47,7.282,8.126,9.186,10.042,0.980511,0.972446,0.976478,0.983199,0.976478,-9999,33.749,34.263,28.625,-9999,0.0,0.0,0.0,-11.429,0.726478,16.3429,0.0,17.097,-9999,26.2441,0.224462,27.455,0.662144,0.208462,0.0,-9999,0.194957,0.225951,0.229631,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201801,3.128,1.0,211.113,143.124,1.0,251.87,1.0,4.651,0.0,96.204,0.946237,0.094,0.0,5.219,0.0,-9999,-9999,41.59168010752687,0.9993279569892474,292.4220863360787,0.9986559139784947,30.891447037291236,0.9986559139784947,36.64997140242507,0.9993279569892474,23.620469429192408,0.9993279569892474,332.6369881034087,0.9993279569892474,415.89,0.930108,4.157,4.548,5.035,5.798,6.346,1.0,1.0,1.0,1.0,1.0,-9999,33.748,34.263,28.68,-9999,0.0,0.0,0.0,-5.20328,1.0,16.332,0.0,19.6139,-9999,44.4523,0.0,53.385,-9999,0.212891,0.0,-9999,0.199275,0.228933,0.233348,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201802,4.14,1.0,269.361,138.87,1.0,280.313,1.0,3.208,0.946429,95.844,0.551339,2.278,0.0,4.981,0.460565,-9999,-9999,60.066107364488346,0.9992559523809523,282.248047587386,0.9992559523809523,29.551992306231003,0.9992559523809523,62.02938988095237,1.0,22.036732364488355,0.9992559523809523,340.30290178571425,1.0,418.298,0.999256,5.932,6.452,6.984,7.57,7.9,1.0,1.0,1.0,1.0,1.0,-9999,33.708,34.261,28.698,-9999,0.0,0.0,0.0,-3.30566,0.994792,16.3863,0.0,19.5545,-9999,41.7669,0.0,49.8425,-9999,0.211883,0.0,-9999,0.199522,0.228609,0.232124,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201803,12.417,1.0,345.962,213.249,1.0,296.228,1.0,7.692,1.0,95.556,0.995968,1.666,0.0,5.35,0.989919,0.3458169846859985,0.9805107526881718,100.71515152362905,0.9979838709677419,426.98746873539034,0.9986559139784946,41.627852968676955,0.9986559139784946,61.20349754558205,0.9986559139784946,31.618989013557737,0.9986559139784946,381.7312733754091,0.9986559139784946,419.447,0.998656,13.101,13.22,12.947,12.788,12.484,1.0,1.0,1.0,1.0,1.0,-9999,33.749,34.263,28.625,-9999,0.0,0.0,0.0,4.39499,0.986559,16.3429,0.0,20.7057,-9999,40.2113,0.0,50.9457,-9999,0.208462,0.0,-9999,0.194957,0.225951,0.229631,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201804,13.483,1.0,417.402,266.472,1.0,304.055,1.0,9.662,1.0,95.579,0.994444,1.706,0.338194,6.529,0.968056,0.4201966024096554,0.9423611111111112,145.41487396572106,0.9993055555555554,525.0361396276596,0.9993055555555554,47.240419178486995,0.9993055555555554,75.95445774231679,0.9993055555555554,38.223102245862876,0.9993055555555554,392.5905023640662,0.9993055555555554,417.838,1.0,15.718,15.906,15.787,15.656,15.326,1.0,1.0,1.0,1.0,1.0,-9999,33.728,34.25,28.666,-9999,0.000694444,0.000694444,0.0,4.93827,0.986806,16.3527,0.0,20.7368,-9999,40.1212,0.0,50.8776,-9999,0.211052,0.0,-9999,0.197864,0.227805,0.231687,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201805,24.59,1.0,464.999,299.966,1.0,373.681,1.0,14.903,0.889785,95.269,0.99328,1.603,1.0,5.732,0.948253,0.3656352608058969,0.9159946236559142,182.72111468597006,0.9865591397849462,602.9166302538365,0.9919354838709677,46.90013929522821,0.9919354838709677,79.31513952685569,0.9919354838709677,42.28702626808045,0.9912634408602151,457.90420484793856,0.9919354838709677,416.058,0.260753,25.789,25.577,24.512,23.473,22.391,1.0,1.0,1.0,1.0,1.0,36.236,33.748,34.263,28.68,0.0,0.0,0.0,0.0,13.7353,0.99328,14.178,0.0,18.2044,-9999,40.0888,0.0,51.4735,-9999,0.309988,0.0,-9999,0.296372,0.314384,0.318799,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201806,27.503,1.0,484.024,314.256,1.0,395.302,1.0,15.118,0.776389,95.237,0.992361,3.095,1.0,5.766,0.440278,-9999,-9999,188.094248999324,0.9902777777777778,630.4835984951809,0.992361111111111,50.86395090016366,0.992361111111111,85.13475961538461,0.5034722222222222,44.31844101842627,0.9909722222222221,482.75172072787944,0.9916666666666667,416.229,0.0,30.965,30.651,29.562,28.442,27.254,0.999306,0.999306,0.999306,0.999306,0.999306,36.237,33.736,34.263,28.666,0.0,0.0,0.000694444,0.0,12.6803,1.0,13.2794,0.0,17.1087,-9999,36.2368,0.0,46.6863,-9999,0.360299,0.0,-9999,0.347112,0.359595,0.363253,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201807,28.267,1.0,474.078,294.437,1.0,405.088,1.0,17.195,0.183468,95.707,0.988575,1.732,1.0,3.425,0.0336022,-9999,-9999,176.67120624571035,0.9979838709677419,594.8914387439945,0.9986559139784946,45.30112674445208,0.9986559139784946,93.84872168840081,0.9986559139784946,41.794476950354614,0.9986559139784946,485.8705373484329,0.9979838709677419,416.499,0.0,31.412,31.15,30.37,29.59,28.719,1.0,1.0,1.0,1.0,1.0,36.236,33.711,34.261,28.729,0.0,0.0,0.0,0.0,10.9681,1.0,13.2944,0.0,16.2484,-9999,31.0179,0.0,37.9102,-9999,0.360242,0.0,-9999,0.347801,0.359844,0.363078,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201808,27.518,1.0,435.78,264.259,1.0,396.091,1.0,16.818,0.97043,95.552,0.991935,2.623,1.0,4.538,0.977151,0.29444465513794954,0.9630376344086022,153.96520561656376,0.9973118279569891,537.1193356878671,0.9973118279569891,40.47527965568519,0.9973118279569891,81.04396019217569,0.9973118279569891,37.50360312285518,0.9973118279569891,473.4827693891558,0.9973118279569891,418.129,0.0,28.992,28.841,28.366,27.928,27.373,1.0,1.0,1.0,1.0,1.0,36.24,33.871,34.302,28.683,0.0,0.0,0.0,0.0,6.91064,0.995968,13.2767,0.0,16.4302,-9999,30.6302,0.0,37.9055,-9999,0.359325,0.0,-9999,0.34582,0.358839,0.362337,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201809,22.43,0.997222,373.781,187.412,0.997222,384.503,0.997222,8.438,0.376389,95.639,0.983333,7.143,1.0,4.406,0.930556,0.29181067476418227,0.9173611111111112,109.98713418094651,0.9937499999999999,387.04877408300666,0.9937499999999999,27.55413448654978,0.9937499999999999,70.40723181247522,0.9937499999999999,26.032427592213264,0.9937499999999999,440.5558468789921,0.9937499999999999,418.736,0.0,23.881,24.156,24.383,24.585,24.544,0.997222,0.996528,0.997222,0.997222,0.997222,36.238,34.011,36.262,28.711,0.000694444,0.000694444,0.000694444,0.000694444,-0.837237,0.995139,13.2794,0.0,16.0378,-9999,30.8477,0.0,37.2555,-9999,0.360299,0.0,-9999,0.347112,0.359595,0.363253,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
