SiteID ,SoilN_Pcent,CtoN,N_Minerlization,GPP_CTSM,MOD_GPPdaily,LAI4g_mean,MOD_GPPannual,TowerGPP
BONA,0.81,25.95,0.22,893,1.745705131,0.792649571,637.1823727,
CLBJ,0.07,5.35,0.9,1281,3.582585488,4.238002147,1307.643703,1518.045
DCFS,0.33,8.47,0.16,711,3.208311863,1.153696581,1171.03383,748.5942
DEJU,0.46,23.81,0.08,816,1.520320516,0.790897442,554.9169885,
DELA,0.14,10.97,0.15,1453,5.292820564,4.604797003,1931.879506,1669.0162
DSNY,0.06,25.18,0.03,2808,5.271517167,,1924.103766,1327.3433
GRSM,0.48,22.88,,1620,5.294487244,3.163643173,1932.487844,2085.31
GUAN,1.35,15.46,1.04,622,6.403611098,,2337.318051,
HARV,0.7,24.38,0.34,1153,4.484251988,,1636.751976,1760.726
JERC,0.04,24.6,0.03,2674,5.887329004,,2148.875086,1848.422
JORN,0.03,7.26,0.05,239,0.765448706,0.399818375,279.3887775,
KONA,0.13,9.85,0.06,854,3.369081143,2.148568381,1229.714617,907.663
KONZ,0.38,12.33,0.14,1158,3.505256366,2.148568381,1279.418573,1127.6876
LENO,0.16,10.47,0.12,1657,6.192927336,,2260.418478,
MLBS,0.48,18.86,0.64,1248,4.42756412,,1616.060904,946.9553
MOAB,0.05,5.44,0.01,173,0.702243589,0.924818377,256.3189101,40.5223
NIWO,0.68,20.06,0.08,,1.783397467,0.415950858,650.9400753,
OAES,0.15,7.11,0.05,820,2.120363261,1.619252139,773.9325904,657.749
ORNL,0.28,17.39,0.39,1473,5.322371874,1.798397432,1942.665734,
PUUM,1.48,20.28,0.82,,,,0,
SCBI,0.23,11.83,0.38,1458,4.899594001,,1788.35181,
SERC,0.13,12.41,,1411,4.015470101,,1465.646587,2074.798
SJER,0.09,11.67,0.17,1039,2.212371817,0.094636752,807.5157132,
SOAP,0.15,21.83,0.05,1771,4.755662392,0.1753953,1735.816773,
STEI,0.38,16.33,0.33,1109,3.825790564,2.688333337,1396.413556,1496.054
STER,0.1,10.28,0.07,302,1.575555566,0.717564104,575.0777816,
TALL,0.1,27.64,0.2,2520,6.706004338,2.918066242,2447.691584,2075.655
TOOL,1.05,23.01,0.62,380,0.924786374,0.440438036,337.5470264,
UKFS,0.42,12.25,0.12,1272,3.727799147,2.196848297,1360.646689,1866.544
UNDE,0.57,16.16,0.74,1028,3.81478633,1.615566238,1392.397011,1164.804
WOOD   ,0.41,9.03,,524,2.871602492,1.05761752,1048.13491,
WREF ,0.28,34.1,0.02,1966,5.171132442,1.1742735,1887.463341,